staging_id,asset_id,visual_key,role,source_path,source_relative_path,source_candidate_path,source_candidate_relative_path,source_sha256,candidate_sha256,candidate_width,candidate_height,opaque_pixels,purple_like_pixels,purple_like_ratio,source_status,allowed_next_action,reason
art21r2_modal_section_title_plate,ui.art21r2.modal.title_plate,art21r2.modal.title_plate,title_plate,D:\AGAME1\sources\draw\Zujian3.png,sources/draw/Zujian3.png,D:\AGAME1\sources\draw\10_working\candidates\Zujian3\Zujian3_candidate_012.png,sources/draw/10_working/candidates/Zujian3/Zujian3_candidate_012.png,A36FD3D879EFFE7AECA5EEC7B031A9FAF80D3E6E518E64B0D437D24736793D1F,1C436BB336D9010D6503926186D027D741981F4F8AA12CCE748EE03908A9A2C7,321,167,38864,1199,0.030851,draw_candidate_requires_cleanup,dry_run_then_write_runtime,Zujian3 modal section candidate requires purple-fringe cleanup before runtime import.
art21r2_modal_section_section_panel,ui.art21r2.modal.section.panel,art21r2.modal.section.panel,section_panel,D:\AGAME1\sources\draw\Zujian3.png,sources/draw/Zujian3.png,D:\AGAME1\sources\draw\10_working\candidates\Zujian3\Zujian3_candidate_010.png,sources/draw/10_working/candidates/Zujian3/Zujian3_candidate_010.png,A36FD3D879EFFE7AECA5EEC7B031A9FAF80D3E6E518E64B0D437D24736793D1F,CB5513B7F2EA2720220389691AEC167DAD13105789D34164483A11F528EEBD37,407,185,62686,1534,0.024471,draw_candidate_requires_cleanup,dry_run_then_write_runtime,Zujian3 modal section candidate requires purple-fringe cleanup before runtime import.
art21r2_modal_section_action_strip,ui.art21r2.modal.action_strip,art21r2.modal.action_strip,action_strip,D:\AGAME1\sources\draw\Zujian3.png,sources/draw/Zujian3.png,D:\AGAME1\sources\draw\10_working\candidates\Zujian3\Zujian3_candidate_012.png,sources/draw/10_working/candidates/Zujian3/Zujian3_candidate_012.png,A36FD3D879EFFE7AECA5EEC7B031A9FAF80D3E6E518E64B0D437D24736793D1F,1C436BB336D9010D6503926186D027D741981F4F8AA12CCE748EE03908A9A2C7,321,167,38864,1199,0.030851,draw_candidate_requires_cleanup,dry_run_then_write_runtime,Zujian3 modal section candidate requires purple-fringe cleanup before runtime import.
