cut_id,dry_run_id,page,component_id,source_relative_path,staged_relative_path,source_sha256,staged_sha256,crop_mode,crop_rect,output_path,output_relative_path,output_sha256,width,height,alpha_bounds,nine_slice,nine_slice_margin,states,asset_id_candidate,visual_key_candidate,cut_status,write_status,notes
art20_cut_011,art20_dry_011,shared,ui_keycap_prompt_set,sources/draw/30_game_ready/ui_key_prompt/ui_key_q.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_q.png,099706289B700AEBAF7B6B679E26B2D7D8414FD624B2C7673378629582A79682,099706289B700AEBAF7B6B679E26B2D7D8414FD624B2C7673378629582A79682,transparent_bbox_preview,"10,10,53,56",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_keycap_prompt_set\ui_shared_keycap_q_normal.png,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_q_normal.png,EB16446D72FCAE87E18C95463994384CBAC2D6C093964B6A3CCB5F93BA15D991,40,40,"10,10,53,56",no,,"normal, disabled, active",ui.shared.keycap.e.normal,shared.keycap.e.normal,cut_ready_for_review,already_present_same_hash,Unify Run HUD key bar
art20_cut_012,art20_dry_012,shared,ui_keycap_prompt_set,sources/draw/30_game_ready/ui_key_prompt/ui_key_t.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_t.png,49AC601D40A4E14B5F76E5906F573C444C0A6D36EACA013B60B1B74C81DD3D47,49AC601D40A4E14B5F76E5906F573C444C0A6D36EACA013B60B1B74C81DD3D47,transparent_bbox_preview,"11,10,53,56",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_keycap_prompt_set\ui_shared_keycap_t_normal.png,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_t_normal.png,03D0AC080295A209DA0B1918A50BB238DC74183E91B8F6CC24AFC836F854942C,40,40,"11,10,53,56",no,,"normal, disabled, active",ui.shared.keycap.e.normal,shared.keycap.e.normal,cut_ready_for_review,already_present_same_hash,Unify Run HUD key bar
art20_cut_013,art20_dry_013,main_menu,main_menu_background_base,sources/draw/30_game_ready/main_menu/main_menu_bg_no_text.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/main_menu/main_menu_bg_no_text.png,AC521358BBEFB53300C41E9B562D0610C707948DE891650B34CD037D572E4313,AC521358BBEFB53300C41E9B562D0610C707948DE891650B34CD037D572E4313,transparent_bbox_preview,"0,0,1672,941",D:\AGAME1\sources\art\ART-20\03_cut_output\main_menu\main_menu_background_base\ui_main_menu_background_base_hall.png,sources/art/ART-20/03_cut_output/main_menu/main_menu_background_base/ui_main_menu_background_base_hall.png,467F4977B198F418D5FF2701F62147BB6AF09EA99AC3F15B7FED1638A8A04BA8,1672,941,"0,0,1672,941",no,,normal,ui.main_menu.background.base_hall,main_menu.background.base_hall,cut_ready_for_review,already_present_same_hash,Use background as first visual layer
art20_cut_014,art20_dry_014,main_menu,main_menu_entry_button_large,sources/draw/30_game_ready/ui_button_blank/ui_button_blank_dark.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_button_blank/ui_button_blank_dark.png,99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C,99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C,full_source_9slice_preview,"0,0,321,167",D:\AGAME1\sources\art\ART-20\03_cut_output\main_menu\main_menu_entry_button_large\main_menu_entry_button_large_ui_button_blank_dark.png,sources/art/ART-20/03_cut_output/main_menu/main_menu_entry_button_large/main_menu_entry_button_large_ui_button_blank_dark.png,99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C,321,167,"10,11,311,156",yes,manual_review_required,"normal, hover, selected, disabled",ui.main_menu.button.entry.primary.normal,main_menu.button.entry.primary.normal,cut_ready_for_review,already_present_same_hash,Match Base main menu button mass
art20_cut_015,art20_dry_015,main_menu,main_menu_entry_button_large,sources/draw/30_game_ready/ui_deploy_button/ui_button_confirm_deploy_large.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_confirm_deploy_large.png,E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873,E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873,full_source_9slice_preview,"0,0,289,98",D:\AGAME1\sources\art\ART-20\03_cut_output\main_menu\main_menu_entry_button_large\main_menu_entry_button_large_ui_button_confirm_deploy_large.png,sources/art/ART-20/03_cut_output/main_menu/main_menu_entry_button_large/main_menu_entry_button_large_ui_button_confirm_deploy_large.png,E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873,289,98,"0,0,289,98",yes,manual_review_required,"normal, hover, selected, disabled",ui.shared.button.primary_gold.normal,shared.button.primary_gold.normal,cut_ready_for_review,already_present_same_hash,Match Base main menu button mass
art20_cut_016,art20_dry_017,deploy_prep,deploy_primary_tab_row,sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_loadout.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_loadout.png,55B1B40BBC90B97A1C8FD6F0DAB23476EBCDB0E741748844A8D63F1670E0B74B,55B1B40BBC90B97A1C8FD6F0DAB23476EBCDB0E741748844A8D63F1670E0B74B,full_source_9slice_preview,"0,0,141,56",D:\AGAME1\sources\art\ART-20\03_cut_output\deploy_prep\deploy_primary_tab_row\ui_deploy_prep_tab_primary_loadout.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_primary_tab_row/ui_deploy_prep_tab_primary_loadout.png,55B1B40BBC90B97A1C8FD6F0DAB23476EBCDB0E741748844A8D63F1670E0B74B,141,56,"0,1,139,54",yes,manual_review_required,"normal, selected, disabled, locked",ui.deploy.tab.loadout.normal|ui.shared.tab.primary.selected,deploy.tab.loadout.normal|shared.tab.primary.selected,cut_governance_review,already_present_same_hash,No wrapping into detail area
art20_cut_017,art20_dry_018,deploy_prep,deploy_primary_tab_row,sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_recovery.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_recovery.png,578B1A0498EB34C117F45D78DE7A47DBFA604D2705B953E46940F4317302F02A,578B1A0498EB34C117F45D78DE7A47DBFA604D2705B953E46940F4317302F02A,full_source_9slice_preview,"0,0,170,60",D:\AGAME1\sources\art\ART-20\03_cut_output\deploy_prep\deploy_primary_tab_row\ui_deploy_prep_tab_primary_recovery.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_primary_tab_row/ui_deploy_prep_tab_primary_recovery.png,578B1A0498EB34C117F45D78DE7A47DBFA604D2705B953E46940F4317302F02A,170,60,"0,0,168,59",yes,manual_review_required,"normal, selected, disabled, locked",ui.deploy.tab.loadout.normal|ui.shared.tab.primary.selected,deploy.tab.loadout.normal|shared.tab.primary.selected,cut_governance_review,already_present_same_hash,No wrapping into detail area
art20_cut_018,art20_dry_019,deploy_prep,deploy_primary_tab_row,sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_requisition.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_requisition.png,7C55CD1AE2789842C4D079A7B618E84A165AD72267612A3B8642037B3C1A4C8B,7C55CD1AE2789842C4D079A7B618E84A165AD72267612A3B8642037B3C1A4C8B,full_source_9slice_preview,"0,0,148,56",D:\AGAME1\sources\art\ART-20\03_cut_output\deploy_prep\deploy_primary_tab_row\ui_deploy_prep_tab_primary_requisition.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_primary_tab_row/ui_deploy_prep_tab_primary_requisition.png,7C55CD1AE2789842C4D079A7B618E84A165AD72267612A3B8642037B3C1A4C8B,148,56,"0,2,146,55",yes,manual_review_required,"normal, selected, disabled, locked",ui.deploy.tab.loadout.normal|ui.shared.tab.primary.selected,deploy.tab.loadout.normal|shared.tab.primary.selected,cut_governance_review,already_present_same_hash,No wrapping into detail area
art20_cut_019,art20_dry_020,deploy_prep,deploy_primary_tab_row,sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_talent_selected.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_talent_selected.png,E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0,E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0,full_source_9slice_preview,"0,0,228,61",D:\AGAME1\sources\art\ART-20\03_cut_output\deploy_prep\deploy_primary_tab_row\ui_deploy_prep_tab_primary_selected.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_primary_tab_row/ui_deploy_prep_tab_primary_selected.png,E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0,228,61,"2,0,226,60",yes,manual_review_required,"normal, selected, disabled, locked",ui.deploy.tab.loadout.normal|ui.shared.tab.primary.selected,deploy.tab.loadout.normal|shared.tab.primary.selected,cut_governance_review,already_present_same_hash,No wrapping into detail area
art20_cut_020,art20_dry_021,deploy_prep,deploy_primary_tab_row,sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_warehouse.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_warehouse.png,28EAA56504E1F7EA3136BE8AD7478357E03C4E6C28AEB27D67C011CCE416951E,28EAA56504E1F7EA3136BE8AD7478357E03C4E6C28AEB27D67C011CCE416951E,full_source_9slice_preview,"0,0,154,56",D:\AGAME1\sources\art\ART-20\03_cut_output\deploy_prep\deploy_primary_tab_row\ui_deploy_prep_tab_primary_warehouse.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_primary_tab_row/ui_deploy_prep_tab_primary_warehouse.png,28EAA56504E1F7EA3136BE8AD7478357E03C4E6C28AEB27D67C011CCE416951E,154,56,"0,2,149,55",yes,manual_review_required,"normal, selected, disabled, locked",ui.deploy.tab.loadout.normal|ui.shared.tab.primary.selected,deploy.tab.loadout.normal|shared.tab.primary.selected,cut_governance_review,already_present_same_hash,No wrapping into detail area
