asset_id,source_repo_path,godot_path,type,category,usage,import_preset,license_status,replacement_needed,linked_scene,linked_data,note,theme_key,presentation_role,state,variant,source_status
ui.art21.map.cell.explored,sources/art/ART-21/03_cut_output/map/ui_art21_map_cell_explored.png,res://assets/ui/art21/map/ui_art21_map_cell_explored.png,texture,ui_icon,ART21 map explored cell,pixel_ui,internal_generated,false,map_overlay_panel.gd,map_overlay.cell.explored.replaced,ART21 generated component; source_sha256=3295CAA4F282540E7F982C20D4AD048790EA3F7ACF73F83AF198C59E2CB0DA09; cut_sha256=3295CAA4F282540E7F982C20D4AD048790EA3F7ACF73F83AF198C59E2CB0DA09; visual_key=map_overlay.cell.explored.replaced,art21.map_overlay.cell.explored.replaced,map_overlay_cell,explored,art21,art21_generated_contract_component
ui.art21.map.cell.scanned,sources/art/ART-21/03_cut_output/map/ui_art21_map_cell_scanned.png,res://assets/ui/art21/map/ui_art21_map_cell_scanned.png,texture,ui_icon,ART21 map scanned cell,pixel_ui,internal_generated,false,map_overlay_panel.gd,map_overlay.cell.scanned.replaced,ART21 generated component; source_sha256=19ABB50557D76B35B27F06B77088D1F8731ED3F190CF2743B30EE81999679F0E; cut_sha256=19ABB50557D76B35B27F06B77088D1F8731ED3F190CF2743B30EE81999679F0E; visual_key=map_overlay.cell.scanned.replaced,art21.map_overlay.cell.scanned.replaced,map_overlay_cell,scanned,art21,art21_generated_contract_component
ui.art21.map.cell.flagged,sources/art/ART-21/03_cut_output/map/ui_art21_map_cell_flagged.png,res://assets/ui/art21/map/ui_art21_map_cell_flagged.png,texture,ui_icon,ART21 map flagged cell,pixel_ui,internal_generated,false,map_overlay_panel.gd,map_overlay.cell.flagged.replaced,ART21 generated component; source_sha256=4171303BEA91BC0264B6E2A880D0E5B99004CF1B8B77C67DFDFEA938BD0D7DDB; cut_sha256=4171303BEA91BC0264B6E2A880D0E5B99004CF1B8B77C67DFDFEA938BD0D7DDB; visual_key=map_overlay.cell.flagged.replaced,art21.map_overlay.cell.flagged.replaced,map_overlay_cell,flagged,art21,art21_generated_contract_component
ui.art21.map.marker.event,sources/art/ART-21/03_cut_output/map/ui_art21_map_marker_event.png,res://assets/ui/art21/map/ui_art21_map_marker_event.png,texture,ui_icon,ART21 map event marker,pixel_ui,internal_generated,false,map_overlay_panel.gd,map_overlay.marker.event.replaced,ART21 generated component; source_sha256=81078D8D7B7A9C4139F27CCCA7A236B438A7729397E01E5F2BBCA17C80976F48; cut_sha256=81078D8D7B7A9C4139F27CCCA7A236B438A7729397E01E5F2BBCA17C80976F48; visual_key=map_overlay.marker.event.replaced,art21.map_overlay.marker.event.replaced,map_overlay_marker,event,art21,art21_generated_contract_component
ui.art21.map.marker.player,sources/art/ART-21/03_cut_output/map/ui_art21_map_marker_player.png,res://assets/ui/art21/map/ui_art21_map_marker_player.png,texture,ui_icon,ART21 map player marker,pixel_ui,internal_generated,false,map_overlay_panel.gd,map_overlay.marker.player,ART21 generated component; source_sha256=17240923B4538E407652AE1C238078D7DF6D18D90EB9197D38C1E0364B471684; cut_sha256=17240923B4538E407652AE1C238078D7DF6D18D90EB9197D38C1E0364B471684; visual_key=map_overlay.marker.player,art21.map_overlay.marker.player,map_overlay_marker,player,art21,art21_generated_contract_component
ui.art21.map.marker.exit,sources/art/ART-21/03_cut_output/map/ui_art21_map_marker_exit.png,res://assets/ui/art21/map/ui_art21_map_marker_exit.png,texture,ui_icon,ART21 map exit marker,pixel_ui,internal_generated,false,map_overlay_panel.gd,map_overlay.marker.exit,ART21 generated component; source_sha256=791A2ADCFA51BD79C9841DA2608E94E3F9644EAB1CC402D1EEBB54D0C1081AAD; cut_sha256=791A2ADCFA51BD79C9841DA2608E94E3F9644EAB1CC402D1EEBB54D0C1081AAD; visual_key=map_overlay.marker.exit,art21.map_overlay.marker.exit,map_overlay_marker,exit,art21,art21_generated_contract_component
ui.art21.map.marker.mine,sources/art/ART-21/03_cut_output/map/ui_art21_map_marker_mine.png,res://assets/ui/art21/map/ui_art21_map_marker_mine.png,texture,ui_icon,ART21 map mine marker,pixel_ui,internal_generated,false,map_overlay_panel.gd,map_overlay.marker.mine,ART21 generated component; source_sha256=D77C9F73868BA762A6297FE2A4F59B3A81D975EE3FEB8AEFAA86FDE00DBE4ED6; cut_sha256=D77C9F73868BA762A6297FE2A4F59B3A81D975EE3FEB8AEFAA86FDE00DBE4ED6; visual_key=map_overlay.marker.mine,art21.map_overlay.marker.mine,map_overlay_marker,mine,art21,art21_generated_contract_component
ui.art21.map.marker.chest,sources/art/ART-21/03_cut_output/map/ui_art21_map_marker_chest.png,res://assets/ui/art21/map/ui_art21_map_marker_chest.png,texture,ui_icon,ART21 map chest marker,pixel_ui,internal_generated,false,map_overlay_panel.gd,map_overlay.marker.chest,ART21 generated component; source_sha256=98D849FF9A57234B2A8D601FE9CC6C3F8344CC403F3C34A400E1884B86E2BDDD; cut_sha256=98D849FF9A57234B2A8D601FE9CC6C3F8344CC403F3C34A400E1884B86E2BDDD; visual_key=map_overlay.marker.chest,art21.map_overlay.marker.chest,map_overlay_marker,chest,art21,art21_generated_contract_component
ui.art21.inventory.panel.frame,sources/art/ART-21/03_cut_output/inventory/ui_art21_inventory_panel_frame.png,res://assets/ui/art21/inventory/ui_art21_inventory_panel_frame.png,texture,ui_panel,ART21 inventory overlay frame,pixel_ui,internal_generated,false,inventory_panel.gd,inventory.panel.frame,ART21 generated component; source_sha256=C747C8268405914D09E3049F67F31C23DA89BA49F6E20102119CCEFA52751199; cut_sha256=C747C8268405914D09E3049F67F31C23DA89BA49F6E20102119CCEFA52751199; visual_key=inventory.panel.frame,art21.inventory.panel.frame,inventory_panel,normal,art21,art21_generated_contract_component
ui.art21.ground_loot.panel.frame,sources/art/ART-21/03_cut_output/ground_loot/ui_art21_ground_loot_panel_frame.png,res://assets/ui/art21/ground_loot/ui_art21_ground_loot_panel_frame.png,texture,ui_panel,ART21 ground loot overlay frame,pixel_ui,internal_generated,false,ground_loot_panel.gd,ground_loot.panel.frame,ART21 generated component; source_sha256=649751400C0E5A941BEDB3D5EB08CB5DF56376C2311285D3D301F97645579778; cut_sha256=649751400C0E5A941BEDB3D5EB08CB5DF56376C2311285D3D301F97645579778; visual_key=ground_loot.panel.frame,art21.ground_loot.panel.frame,ground_loot_panel,normal,art21,art21_generated_contract_component
ui.art21.result.modal.frame,sources/art/ART-21/03_cut_output/result/ui_art21_result_modal_frame.png,res://assets/ui/art21/result/ui_art21_result_modal_frame.png,texture,ui_panel,ART21 result modal frame,pixel_ui,internal_generated,false,result_panel.gd,result.modal.frame,ART21 generated component; source_sha256=83A988F82C91C5A34093A9E76203838B334E2551A75645F01B8BD8DE376610D6; cut_sha256=83A988F82C91C5A34093A9E76203838B334E2551A75645F01B8BD8DE376610D6; visual_key=result.modal.frame,art21.result.modal.frame,result_modal,normal,art21,art21_generated_contract_component
