source_member,sha256,bytes,extension,category,disposition,reason
sources/art/03_selected/draw_30_game_ready/props/10_yiliaobao.png,7CF0D291EAA59A94FCA3B321443B98D281FBDB33A1302C8B75E3AD0606F08D63,35972,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/props/11_wuzi_xiang.png,6D2CF9DC683B69DF9CB9F428A764CB47F966987DFF426C27F8E8AAD72886BDDC,41258,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui/icons/jinbi_icon.png,E6ED6B95506EF88CB28E54E4256737D5BEC22396F1B47B9863029E145962D08E,8516,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui/icons/xuetiao_tianchong.png,2B1F1E10F40A7E125C8A056C9F03CA089CC7666587A6B803FA9354E9336AB3E8,8309,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_button_blank/ui_button_blank_dark.png,99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C,66360,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_button/ui_button_back_main.png,5426CBCF75284BDE97B98A0E1677C9E78F349DCC6C78224F8E6441343BD0A3E2,18875,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_button/ui_button_confirm_deploy_large.png,E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873,51391,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_button/ui_button_nav_loadout.png,55B1B40BBC90B97A1C8FD6F0DAB23476EBCDB0E741748844A8D63F1670E0B74B,15773,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_button/ui_button_nav_recovery.png,578B1A0498EB34C117F45D78DE7A47DBFA604D2705B953E46940F4317302F02A,20026,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_button/ui_button_nav_requisition.png,7C55CD1AE2789842C4D079A7B618E84A165AD72267612A3B8642037B3C1A4C8B,15841,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_button/ui_button_nav_talent_selected.png,E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0,23470,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_button/ui_button_nav_warehouse.png,28EAA56504E1F7EA3136BE8AD7478357E03C4E6C28AEB27D67C011CCE416951E,16248,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_button/ui_key_or_arrow_small_button.png,8A70EF18582AA3D98BD6CA8E32D3790F2F169EA3F0EE43ACACC23F5A89471497,7558,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_icon/ui_icon_armor.png,29F71E2E65B31F0D3C1F0B6775482351C4837148E4D1773FAC4CB35127DC58F4,6300,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_icon/ui_icon_backpack.png,B247A2ABA7509D1797376B95136A2D7155D13CC8470EE7233ACF450EFA5A7413,6416,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_icon/ui_icon_bandage.png,8E5B26EB543E59A1B7D09BCDCC74803D1674BA4D3487C7FB10EE131FA5C18FE9,4341,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_icon/ui_icon_compass.png,016D4065BFBE7CA6406816F6BBA786C31F9D8CC2EACDD637A5257B822582E285,6890,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_panel/ui_frame_highlight.png,6A7B4D2BBC7A87236B11F52BEAA8568477428D86A288D987949EC11F1B5DD95D,19642,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_panel/ui_panel_deploy_main_blank.png,222F475C981FA20063686E3BA1C203A46E04B9B2DBE6C6CDD1C4B5827E9EF525,127236,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_deploy_panel/ui_panel_deploy_summary_blank.png,6893538A28D34001C2FFBF52DE811139936CAD2F24954A0588238A67DAEDFE75,18745,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_key_prompt/ui_key_e.png,819C31BC1070AC5C9832EEA32605584BC6D835ED952A40371AEC308F2379455A,3859,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_key_prompt/ui_key_esc.png,9A9A580FE1A1FB7268A905FA1E04B12576048D1D963CBB02F097E41B821E4EAB,4957,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_key_prompt/ui_key_f.png,EC188529DC43CB042E9EAFF489FBDFDD4B300B046B066FC666D2C4878DF98D87,3879,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_key_prompt/ui_key_m.png,18E737B8021ED01216132B95494A0CB7D83D71D006CC3C87AA83B103140F1FCD,4223,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_key_prompt/ui_key_q.png,099706289B700AEBAF7B6B679E26B2D7D8414FD624B2C7673378629582A79682,4536,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_key_prompt/ui_key_t.png,49AC601D40A4E14B5F76E5906F573C444C0A6D36EACA013B60B1B74C81DD3D47,3688,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/03_selected/draw_30_game_ready/ui_panel/ui_panel_terminal_main.png,4BB57AC94C797BE82FD9B03B1EB708D87E3FE6CD014AF898A059486DCA6EACBC,456147,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/item_consumable/item_consumable_medkit.png,EC58BAE34F8CBD3612E8B9DC2326285126BA1CC34BD20246CF1BB78AC7AABB90,6194,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/item_consumable/item_consumable_syringe.png,1D103D257DFA58ADF097BE31493DC94906836857DF6431B6D42065EA61FCDB45,4756,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/item_equipment/item_equipment_flashlight.png,339826ACF7CEB1736B2A3D4B172022B0CD1ACE084AC49FEAA2DF65D5793C4A35,5290,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/item_equipment/item_equipment_goggles.png,24462587E2902253A8383BE61EDFA1EC3118A0FE4F1610840FD165309B80A335,7090,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/item_recovered/item_recovered_ore.png,78860D8DC692B4D2A4F6B1F985AF885F34B478B315B121C849EA5BDACD85D574,6170,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/main_menu/main_menu_bg_no_text.png,AC521358BBEFB53300C41E9B562D0610C707948DE891650B34CD037D572E4313,2904266,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/map_icon/map_icon_chest.png,98C44F105FDD348CA0042E5A3ED58B518F817B764A5ACCD98B81AA57AA29E391,39109,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/map_icon/map_icon_event.png,3DB476901205887CC3025E52B91C9599404D60C2E19E140F5FC87F6AFFE2F80C,31685,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
