cut_id,asset_id,visual_key,role,source_candidate_relative_path,crop_rect,output_relative_path,runtime_relative_path,stretch_or_9slice,texture_margin,content_margin,magenta_cleanup_rule,source_sha256,candidate_sha256,purple_like_before,purple_like_after,alpha_bounds,output_width,output_height,status,note,cut_sha256,runtime_sha256,cut_write_status,runtime_write_status
art21r2_modal_control_item_row_normal,ui.art21r2.modal.item_row.normal,art21r2.modal.item_row.normal,item_row_normal,sources/draw/10_working/candidates/Zujian3/Zujian3_candidate_005.png,"0,0,418,71",sources/art/ART-21R2/03_cut_output/modal_controls/ui_art21r2_modal_item_row_normal.png,_repo_cache/Game1_work/Godot/GraytailGodot/assets/ui/art21r2/modal/ui_art21r2_modal_item_row_normal.png,9slice,18,10,shared ART21R2 purple/fringe alpha cleanup; trim alpha bbox with 2px padding,A36FD3D879EFFE7AECA5EEC7B031A9FAF80D3E6E518E64B0D437D24736793D1F,9DC7D634AC49C8DDCC6244DDA65FBB6BB59433EB35266CC26DA72E6EEC9ADE3C,1297,0,"2,2,400,52",402,54,runtime_written,Draw-sliced modal control surface; does not claim final modal composition.,8BEB048B8ED78658FB243B9C57BCA45C2038780449E96D788264384CAF3772B3,8BEB048B8ED78658FB243B9C57BCA45C2038780449E96D788264384CAF3772B3,written,written
art21r2_modal_control_button_primary,ui.art21r2.modal.button.primary,art21r2.modal.button.primary,button_primary,sources/draw/10_working/candidates/Zujian3/Zujian3_candidate_005.png,"0,0,418,71",sources/art/ART-21R2/03_cut_output/modal_controls/ui_art21r2_modal_button_primary.png,_repo_cache/Game1_work/Godot/GraytailGodot/assets/ui/art21r2/modal/ui_art21r2_modal_button_primary.png,9slice,18,8,shared ART21R2 purple/fringe alpha cleanup; trim alpha bbox with 2px padding,A36FD3D879EFFE7AECA5EEC7B031A9FAF80D3E6E518E64B0D437D24736793D1F,9DC7D634AC49C8DDCC6244DDA65FBB6BB59433EB35266CC26DA72E6EEC9ADE3C,1297,0,"2,2,400,52",402,54,runtime_written,Draw-sliced modal control surface; does not claim final modal composition.,8BEB048B8ED78658FB243B9C57BCA45C2038780449E96D788264384CAF3772B3,8BEB048B8ED78658FB243B9C57BCA45C2038780449E96D788264384CAF3772B3,written,written
art21r2_modal_control_button_secondary,ui.art21r2.modal.button.secondary,art21r2.modal.button.secondary,button_secondary,sources/draw/10_working/candidates/Zujian3/Zujian3_candidate_005.png,"0,0,418,71",sources/art/ART-21R2/03_cut_output/modal_controls/ui_art21r2_modal_button_secondary.png,_repo_cache/Game1_work/Godot/GraytailGodot/assets/ui/art21r2/modal/ui_art21r2_modal_button_secondary.png,9slice,18,8,shared ART21R2 purple/fringe alpha cleanup; trim alpha bbox with 2px padding,A36FD3D879EFFE7AECA5EEC7B031A9FAF80D3E6E518E64B0D437D24736793D1F,9DC7D634AC49C8DDCC6244DDA65FBB6BB59433EB35266CC26DA72E6EEC9ADE3C,1297,0,"2,2,400,52",402,54,runtime_written,Draw-sliced modal control surface; does not claim final modal composition.,8BEB048B8ED78658FB243B9C57BCA45C2038780449E96D788264384CAF3772B3,8BEB048B8ED78658FB243B9C57BCA45C2038780449E96D788264384CAF3772B3,written,written
art21r2_modal_control_button_danger,ui.art21r2.modal.button.danger,art21r2.modal.button.danger,button_danger,sources/draw/10_working/candidates/Zujian3/Zujian3_candidate_008.png,"0,0,418,71",sources/art/ART-21R2/03_cut_output/modal_controls/ui_art21r2_modal_button_danger.png,_repo_cache/Game1_work/Godot/GraytailGodot/assets/ui/art21r2/modal/ui_art21r2_modal_button_danger.png,9slice,18,8,shared ART21R2 purple/fringe alpha cleanup; trim alpha bbox with 2px padding,A36FD3D879EFFE7AECA5EEC7B031A9FAF80D3E6E518E64B0D437D24736793D1F,686F76AE86A70F9F479B0639894EA9243D40E1D7F0F104480A09F4DCA120840D,1184,0,"2,2,400,52",402,54,runtime_written,Draw-sliced modal control surface; does not claim final modal composition.,341D90616A28BDFB5E4557FAB0CF69AAD9623DD037F78F52E924E0A456634D82,341D90616A28BDFB5E4557FAB0CF69AAD9623DD037F78F52E924E0A456634D82,written,written
