object_sha256,repository_object,extension,media_kind,semantic_family,lifecycle_role,canonical_source_member,alias_count,source_layers,distinct_names,same_name_other_sha_count,runtime_match_count,runtime_paths,base_authority,rights_status,review_status,runtime_admission,semantic_decision,decision_note
29F71E2E65B31F0D3C1F0B6775482351C4837148E4D1773FAC4CB35127DC58F4,sources/base/美术素材/blobs/29/29f71e2e65b31f0d3c1f0b6775482351c4837148e4d1773fac4cb35127dc58f4.png,.png,image,deploy,game_ready_source;processed_source;runtime_candidate;selected_source;stage_evidence,sources/draw/20_processed/ui_deploy_icon/ui_icon_armor.png,5,03_selected;05_export_runtime_candidates;20_processed;30_game_ready;stage_output,ui_icon_armor.png,0,1,res://assets/ui/deploy/icons/ui_icon_armor.png,base_source_evidence_only,pending_verification,pending_review,not_admitted,runtime_crosswalk_required,Exact runtime bytes exist; authority is decided per runtime row.
2A0B18CA4B9868F9CA200872A924307B380445397BC4B454FF922B2109EBAB39,sources/base/美术素材/blobs/2a/2a0b18ca4b9868f9ca200872a924307b380445397bc4b454ff922b2109ebab39.png,.png,image,actor_animation_source,game_ready_source;processed_source;source_reference,sources/draw/20_processed/characters/huanxiong/frames/06_left_walk_1.png,3,20_processed;30_game_ready;art_other,06_left_walk_1.png,7,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2B1F1E10F40A7E125C8A056C9F03CA089CC7666587A6B803FA9354E9336AB3E8,sources/base/美术素材/blobs/2b/2b1f1e10f40a7e125c8a056c9f03ca089cc7666587a6b803fa9354e9336ab3e8.png,.png,image,ui_component,game_ready_source;runtime_candidate;selected_source,sources/draw/30_game_ready/ui/icons/xuetiao_tianchong.png,3,03_selected;05_export_runtime_candidates;30_game_ready,xuetiao_tianchong.png,1,1,res://assets/ui/icons/xuetiao_tianchong.png,base_source_evidence_only,pending_verification,pending_review,not_admitted,runtime_crosswalk_required,Exact runtime bytes exist; authority is decided per runtime row.
2B20665779D2B4B123B7D35246F38D04ED8C66DC8DA37565DC0125F6C06457C9,sources/base/美术素材/blobs/2b/2b20665779d2b4b123b7d35246f38d04ed8c66dc8da37565dc0125f6c06457c9.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/5/5_candidate_006.png,1,10_working,5_candidate_006.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2B3E7A1742C7BE4A9B5D46E7012E0A8DC8FFA170E538DAE4F63FF96045B0EC73,sources/base/美术素材/blobs/2b/2b3e7a1742c7be4a9b5d46e7012e0a8dc8ffa170e538dae4f63ff96045b0ec73.png,.png,image,uncategorized_image,working_candidate,sources/draw/10_working/candidates/1/1_candidate_019.png,1,10_working,1_candidate_019.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2B4ED99884371A7A9DE900638E0C6248EFD99911A42F2A8DA536E00965603FC7,sources/base/美术素材/blobs/2b/2b4ed99884371a7a9de900638e0c6248efd99911a42f2a8da536e00965603fc7.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zuhe2/Zuhe2_candidate_074.png,1,10_working,Zuhe2_candidate_074.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2C14B2C5F9592F0812A499F436CF0E7909A50054E4E0B7A6641E3BC6F66E2706,sources/base/美术素材/blobs/2c/2c14b2c5f9592f0812a499f436cf0e7909a50054e4e0b7a6641e3bc6f66e2706.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zuhe/Zuhe_candidate_029.png,1,10_working,Zuhe_candidate_029.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2C528551A6504AD7E12D837B554A121EBE32C03C850832C99CE4B7D2F8AF8586,sources/base/美术素材/blobs/2c/2c528551a6504ad7e12d837b554a121ebe32c03c850832c99ce4b7d2f8af8586.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/4/4_candidate_041.png,1,10_working,4_candidate_041.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2CD48196640B901CE98744B568F935468529312B3341534B2AC6CED4ED1CAEAD,sources/base/美术素材/blobs/2c/2cd48196640b901ce98744b568f935468529312b3341534b2ac6ced4ed1caead.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zuhe2/Zuhe2_candidate_089.png,1,10_working,Zuhe2_candidate_089.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2D0DE85156833AF7273C02E014DAB23EE470DC8680135D3ECB97E5388B038097,sources/base/美术素材/blobs/2d/2d0de85156833af7273c02e014dab23ee470dc8680135d3ecb97e5388b038097.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/4/4_candidate_031.png,1,10_working,4_candidate_031.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
