export_id,candidate_id,export_path,target_runtime_role,target_size,transparent_background,animation_frames,proposed_asset_id,manifest_status,notes
EXP-STG-ART07-0046,CAND-STG-ART07-0046,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_confirm_deploy_large.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873;staged_sha256=E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_confirm_deploy_large.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0048,CAND-STG-ART07-0048,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_nav_loadout.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=55B1B40BBC90B97A1C8FD6F0DAB23476EBCDB0E741748844A8D63F1670E0B74B;staged_sha256=55B1B40BBC90B97A1C8FD6F0DAB23476EBCDB0E741748844A8D63F1670E0B74B;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_nav_loadout.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0050,CAND-STG-ART07-0050,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_nav_recovery.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=578B1A0498EB34C117F45D78DE7A47DBFA604D2705B953E46940F4317302F02A;staged_sha256=578B1A0498EB34C117F45D78DE7A47DBFA604D2705B953E46940F4317302F02A;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_nav_recovery.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0052,CAND-STG-ART07-0052,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_nav_requisition.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=7C55CD1AE2789842C4D079A7B618E84A165AD72267612A3B8642037B3C1A4C8B;staged_sha256=7C55CD1AE2789842C4D079A7B618E84A165AD72267612A3B8642037B3C1A4C8B;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_nav_requisition.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0054,CAND-STG-ART07-0054,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_nav_talent_selected.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0;staged_sha256=E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_nav_talent_selected.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0056,CAND-STG-ART07-0056,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_nav_warehouse.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=28EAA56504E1F7EA3136BE8AD7478357E03C4E6C28AEB27D67C011CCE416951E;staged_sha256=28EAA56504E1F7EA3136BE8AD7478357E03C4E6C28AEB27D67C011CCE416951E;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_button_nav_warehouse.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0058,CAND-STG-ART07-0058,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_key_or_arrow_small_button.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=8A70EF18582AA3D98BD6CA8E32D3790F2F169EA3F0EE43ACACC23F5A89471497;staged_sha256=8A70EF18582AA3D98BD6CA8E32D3790F2F169EA3F0EE43ACACC23F5A89471497;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_button\ui_key_or_arrow_small_button.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0060,CAND-STG-ART07-0060,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_icon\ui_icon_armor.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=29F71E2E65B31F0D3C1F0B6775482351C4837148E4D1773FAC4CB35127DC58F4;staged_sha256=29F71E2E65B31F0D3C1F0B6775482351C4837148E4D1773FAC4CB35127DC58F4;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_icon\ui_icon_armor.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0062,CAND-STG-ART07-0062,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_icon\ui_icon_backpack.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=B247A2ABA7509D1797376B95136A2D7155D13CC8470EE7233ACF450EFA5A7413;staged_sha256=B247A2ABA7509D1797376B95136A2D7155D13CC8470EE7233ACF450EFA5A7413;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_icon\ui_icon_backpack.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0064,CAND-STG-ART07-0064,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_icon\ui_icon_bandage.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=8E5B26EB543E59A1B7D09BCDCC74803D1674BA4D3487C7FB10EE131FA5C18FE9;staged_sha256=8E5B26EB543E59A1B7D09BCDCC74803D1674BA4D3487C7FB10EE131FA5C18FE9;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_icon\ui_icon_bandage.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
