screen,slot,asset_id,visual_key,staging_path,cut_output,runtime_asset,source_sha256,cut_sha256,status,blocked_resolution
shared,page_frame,ui.art21.shared.panel.page_frame.normal,shared.panel.page_frame.normal,sources/art/ART-21/01_staging_generated/shared/panels/ui_art21_shared_panel_page_frame_normal.png,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_page_frame_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_page_frame_normal.png,64073B659BA8CF680DEC32F7B820C55F48FCE05FD5CC856C86A00231880A0410,64073B659BA8CF680DEC32F7B820C55F48FCE05FD5CC856C86A00231880A0410,ready_for_runtime_import,completed
shared,card_frame,ui.art21.shared.panel.card.normal,shared.panel.card.normal,sources/art/ART-21/01_staging_generated/shared/panels/ui_art21_shared_panel_card_normal.png,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_card_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_card_normal.png,C33FEE068756233724BD51CEBF346ACA3A5FA1C864A6946A695688D49109E93F,C33FEE068756233724BD51CEBF346ACA3A5FA1C864A6946A695688D49109E93F,ready_for_runtime_import,completed
shared,slot_frame,ui.art21.shared.panel.slot.normal,shared.panel.slot.normal,sources/art/ART-21/01_staging_generated/shared/panels/ui_art21_shared_panel_slot_normal.png,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_slot_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_slot_normal.png,170A29FFFB0261C45FE8A8BEAC0FDEF33E8C771FCCBF20E3EE965C9AF25E5D33,170A29FFFB0261C45FE8A8BEAC0FDEF33E8C771FCCBF20E3EE965C9AF25E5D33,ready_for_runtime_import,completed
shared,status_card,ui.art21.shared.panel.status_card.normal,shared.panel.status_card.normal,sources/art/ART-21/01_staging_generated/shared/panels/ui_art21_shared_panel_status_card_normal.png,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_status_card_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_status_card_normal.png,B9B2116FE886825B9847C3A77CB902EB1D8BB62115F6E429321B646D3B687BA6,B9B2116FE886825B9847C3A77CB902EB1D8BB62115F6E429321B646D3B687BA6,ready_for_runtime_import,completed
shared,modal_frame,ui.art21.shared.panel.modal.normal,shared.panel.modal.normal,sources/art/ART-21/01_staging_generated/shared/panels/ui_art21_shared_panel_modal_normal.png,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_modal_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_modal_normal.png,86FA60A043994FA7238FA03B0AC382525E0B6AA1F56979FFDC2D4DBA9A35D2A2,86FA60A043994FA7238FA03B0AC382525E0B6AA1F56979FFDC2D4DBA9A35D2A2,ready_for_runtime_import,completed
shared,tooltip_frame,ui.art21.shared.panel.tooltip.normal,shared.panel.tooltip.normal,sources/art/ART-21/01_staging_generated/shared/panels/ui_art21_shared_panel_tooltip_normal.png,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_tooltip_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_tooltip_normal.png,E58A57AD7B7D8652061DA3AAE8FBEC292A31E31E122B758A056D258955976198,E58A57AD7B7D8652061DA3AAE8FBEC292A31E31E122B758A056D258955976198,ready_for_runtime_import,completed
shared,button_primary_normal,ui.art21.shared.button.primary.normal,shared.button.primary.normal,sources/art/ART-21/01_staging_generated/shared/buttons/ui_art21_shared_button_primary_normal.png,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_button_primary_normal.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_button_primary_normal.png,ECD027247D4B8F10627A6E8AF8750F7CD64F322457B9E9AD53A2104AF10C5DC7,ECD027247D4B8F10627A6E8AF8750F7CD64F322457B9E9AD53A2104AF10C5DC7,ready_for_runtime_import,completed
shared,button_primary_hover,ui.art21.shared.button.primary.hover,shared.button.primary.hover,sources/art/ART-21/01_staging_generated/shared/buttons/ui_art21_shared_button_primary_hover.png,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_button_primary_hover.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_button_primary_hover.png,E785AC0A2BEAA33A641FA8E003F43321F5D92AB1D90AA04733FCF81275173845,E785AC0A2BEAA33A641FA8E003F43321F5D92AB1D90AA04733FCF81275173845,ready_for_runtime_import,completed
shared,button_primary_pressed,ui.art21.shared.button.primary.pressed,shared.button.primary.pressed,sources/art/ART-21/01_staging_generated/shared/buttons/ui_art21_shared_button_primary_pressed.png,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_button_primary_pressed.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_button_primary_pressed.png,1621C865BB79B85C3CF9746694C909CAA1628651AA96F1CA32051169E10573E4,1621C865BB79B85C3CF9746694C909CAA1628651AA96F1CA32051169E10573E4,ready_for_runtime_import,completed
shared,button_primary_disabled,ui.art21.shared.button.primary.disabled,shared.button.primary.disabled,sources/art/ART-21/01_staging_generated/shared/buttons/ui_art21_shared_button_primary_disabled.png,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_button_primary_disabled.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_button_primary_disabled.png,DC0A238D43E8FDB6476CCB01211190829A3B14C3E950DD06DF6AFA4B22D5CF92,DC0A238D43E8FDB6476CCB01211190829A3B14C3E950DD06DF6AFA4B22D5CF92,ready_for_runtime_import,completed
shared,button_secondary_normal,ui.art21.shared.button.secondary.normal,shared.button.secondary.normal,sources/art/ART-21/01_staging_generated/shared/buttons/ui_art21_shared_button_secondary_normal.png,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_button_secondary_normal.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_button_secondary_normal.png,FD3CA102D24F4895853430EE7F2374D2F5155C4A40FB3EBB0F79493F7B3F1F49,FD3CA102D24F4895853430EE7F2374D2F5155C4A40FB3EBB0F79493F7B3F1F49,ready_for_runtime_import,completed
shared,button_secondary_selected,ui.art21.shared.button.secondary.selected,shared.button.secondary.selected,sources/art/ART-21/01_staging_generated/shared/buttons/ui_art21_shared_button_secondary_selected.png,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_button_secondary_selected.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_button_secondary_selected.png,938EB5D5BFB323117E2A5242A76D3D8623A8DFEDF83C3AB6F4580C7189EEBF2C,938EB5D5BFB323117E2A5242A76D3D8623A8DFEDF83C3AB6F4580C7189EEBF2C,ready_for_runtime_import,completed
shared,tab_normal,ui.art21.shared.tab.normal,shared.tab.normal,sources/art/ART-21/01_staging_generated/shared/buttons/ui_art21_shared_tab_normal.png,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_tab_normal.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_tab_normal.png,63B06815092A6E22CDD18BF4345564CA1307489E99FE03F26B996D55B39D62E1,63B06815092A6E22CDD18BF4345564CA1307489E99FE03F26B996D55B39D62E1,ready_for_runtime_import,completed
shared,tab_selected,ui.art21.shared.tab.selected,shared.tab.selected,sources/art/ART-21/01_staging_generated/shared/buttons/ui_art21_shared_tab_selected.png,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_tab_selected.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_tab_selected.png,3C5646B26309A545FF4293D90F7F9BA769656A2109F5EDBAFDE3D3572FEED398,3C5646B26309A545FF4293D90F7F9BA769656A2109F5EDBAFDE3D3572FEED398,ready_for_runtime_import,completed
main_menu,action_deck_frame,ui.art21.main_menu.action_deck.frame,main_menu.action_deck.frame,sources/art/ART-21/01_staging_generated/main_menu/ui_art21_main_menu_action_deck_frame.png,sources/art/ART-21/03_cut_output/main_menu/ui_art21_main_menu_action_deck_frame.png,res://assets/ui/art21/main_menu/ui_art21_main_menu_action_deck_frame.png,26E02FC232A3ACBC4DF6C401F9A841C791CF3966C8D52AD0FC949F0297009FEB,26E02FC232A3ACBC4DF6C401F9A841C791CF3966C8D52AD0FC949F0297009FEB,ready_for_runtime_import,completed
deploy_prep,left_character_frame,ui.art21.deploy.left_character_frame,deploy.left_character_frame.replaced,sources/art/ART-21/01_staging_generated/deploy/ui_art21_deploy_left_character_frame.png,sources/art/ART-21/03_cut_output/deploy/ui_art21_deploy_left_character_frame.png,res://assets/ui/art21/deploy/ui_art21_deploy_left_character_frame.png,B70AF6FF49D5CE0A665F74E41CA16D388800224409D1E5DE9A9B1AC712B67036,B70AF6FF49D5CE0A665F74E41CA16D388800224409D1E5DE9A9B1AC712B67036,ready_for_runtime_import,replaced
deploy_prep,center_route_wall,ui.art21.deploy.route_wall.frame,deploy.route_wall.frame,sources/art/ART-21/01_staging_generated/deploy/ui_art21_deploy_route_wall_frame.png,sources/art/ART-21/03_cut_output/deploy/ui_art21_deploy_route_wall_frame.png,res://assets/ui/art21/deploy/ui_art21_deploy_route_wall_frame.png,122C0B54FB80CC4FADA550C30682629316DD889B4DF334A6C655CF526555D6D0,122C0B54FB80CC4FADA550C30682629316DD889B4DF334A6C655CF526555D6D0,ready_for_runtime_import,completed
deploy_prep,right_summary_panel,ui.art21.deploy.summary_panel.frame,deploy.summary_panel.frame,sources/art/ART-21/01_staging_generated/deploy/ui_art21_deploy_summary_panel_frame.png,sources/art/ART-21/03_cut_output/deploy/ui_art21_deploy_summary_panel_frame.png,res://assets/ui/art21/deploy/ui_art21_deploy_summary_panel_frame.png,00F516980F01FC7FFC8057A70B5BE140C42A4F2D2571BDB3D892E37AF63C343E,00F516980F01FC7FFC8057A70B5BE140C42A4F2D2571BDB3D892E37AF63C343E,ready_for_runtime_import,completed
long_term,left_profile_frame,ui.art21.long_term.profile_frame,long_term.profile_frame.replaced,sources/art/ART-21/01_staging_generated/long_term/ui_art21_long_term_profile_frame.png,sources/art/ART-21/03_cut_output/long_term/ui_art21_long_term_profile_frame.png,res://assets/ui/art21/long_term/ui_art21_long_term_profile_frame.png,B70AF6FF49D5CE0A665F74E41CA16D388800224409D1E5DE9A9B1AC712B67036,B70AF6FF49D5CE0A665F74E41CA16D388800224409D1E5DE9A9B1AC712B67036,ready_for_runtime_import,replaced
